id,source,title,url,date
1,kumparan,"Indeks Manufaktur RI Turun ke 49,3, Fase Terendah Sejak Agustus 2021",kumparan.com/kumparanbisnis/indeks-manufaktur-ri-turun-ke-49-3-fase-terendah-sejak-agustus-2021-23EzXLY668X, 1 Agt 2024
2,kumparan,"Indeks Harga Konsumen (IHK) Juli 2024 Diproyeksi Terjadi Deflasi, Ini Faktornya",kumparan.com/kumparanbisnis/indeks-harga-konsumen-ihk-juli-2024-diproyeksi-terjadi-deflasi-ini-faktornya-23ExxVMathz, 1 Agt 2024
3,kumparan,"Kepercayaan Industri Turun, Kemenperin Sebut Akibat Relaksasi Impor",kumparan.com/kumparanbisnis/kepercayaan-industri-turun-kemenperin-sebut-akibat-relaksasi-impor-23Egtzqq0uz, 31 Jul 2024
4,kumparan,"BEI Keluarkan Emiten Sandiaga Uno, SRTG, dari Daftar Indeks LQ45: JSMR Masuk ",kumparan.com/kumparanbisnis/bei-keluarkan-emiten-sandiaga-uno-srtg-dari-daftar-indeks-lq45-jsmr-masuk-23CbJM5oD9M, 26 Jul 2024
5,kumparan,"Indeks Literasi Sulut Hanya 64,41 Persen, Minat Baca Warga Disorot",kumparan.com/manadobacirita/indeks-literasi-sulut-hanya-64-41-persen-minat-baca-warga-disorot-23CQ2HeH6YW, 25 Jul 2024
6,kumparan,"Manufaktur RI Dinilai Masih Kuat, Barang Impor Murah dari China Jadi Tantangan",kumparan.com/kumparanbisnis/manufaktur-ri-dinilai-masih-kuat-barang-impor-murah-dari-china-jadi-tantangan-23BovaEb7Os, 24 Jul 2024
7,kumparan,"Masyarakat Makin Permisif pada Korupsi, Indeks IPAK Indonesia Turun",kumparan.com/pandangan-jogja/masyarakat-makin-permisif-pada-korupsi-indeks-ipak-indonesia-turun-239cQy9nTqT, 18 Jul 2024
8,kumparan,Analisis Perkembangan Indeks Saham Syariah Indonesia,kumparan.com/bima-wahyu-ramadhan/analisis-perkembangan-indeks-saham-syariah-indonesia-235r7HkNRlf, 9 Jul 2024
9,kumparan,IHSG Diproyeksi Rawan Pullback Imbas Indeks Kepercayaan Konsumen Turun,kumparan.com/kumparanbisnis/ihsg-diproyeksi-rawan-pullback-imbas-indeks-kepercayaan-konsumen-turun-235gGXE0gwL, 9 Jul 2024
10,kumparan,Cara Menghitung Tingkat Kesukaran Soal,kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 6 Jul 2024
11,kumparan,Pengertian GPA dalam Kuliah dan Penjelasannya,kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 2 Jul 2024
12,kumparan,Rupbasan Mojokerto Komitmen Tingkatkan Indeks Layanan Kesekretariatan,kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 12 Jun 2024
13,kumparan,"Nilai IZN 0,84 Jadikan IZI Sebagai Lembaga Yang Stabil Dan Efektif Kelola Zakat",kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 10 Jun 2024
14,kumparan,Bawaslu Sulut Akan Susun Indeks Kerawanan Pemilu Skala Daerah,kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 9 Jun 2024
15,kumparan,SEVENTEEN Masuk 30 Daftar Model Iklan Paling Disukai di Bulan Juni 2024,kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 7 Jun 2024
16,kumparan,"Gorontalo Dianggap Miskin Tapi Indeks Kebahagiaan Tinggi, Bagaimana Bisa?",kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 5 Jun 2024
17,kumparan,2 Contoh Soal Indeks Harga dan Rumus Cara Menghitungnya,kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 27 Mei 2024
18,kumparan,"Tingkatkan Indeks Pertanaman, Kementan Lakukan Opla Rawa di Pinrang 500 Ha",kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 23 Mei 2024
19,kumparan,"Indeks Bisnis UMKM BRI: Ekspansi Bisnis UMKM Melambat, Namun Tetap Prospektif",kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 3 Mei 2024
20,kumparan,"Indeks Manufaktur RI Capai 54,2 di Maret 2024, Rekor Tertinggi dalam 2 Tahun",kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 1 Apr 2024
21,kumparan,Indeks Kebahagiaan dan Pembangunan,kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 27 Mar 2024
22,kumparan,"Pengertian Indeks Subjek, Tujuan, dan Fungsi Indeks pada Buku",kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 21 Feb 2024
23,kumparan,LAN Targetkan Indeks Kualitas Kebijakan Pemerintah Capai 100 Persen di 2025,kumparan.com/ragam-info/cara-menghitung-tingkat-kesukaran-soal-234cQbSdj7K, 20 Feb 2024
